product_id,product_name,category,price
1001,Product_0001,Sports,1282.68
1002,Product_0002,Sports,407.06
1003,Product_0003,Books,1776.68
1004,Product_0004,Books,1624.45
1005,Product_0005,Sports,702.38
1006,Product_0006,Clothing,1159.33
1007,Product_0007,Home,286.35
1008,Product_0008,Home,1944.83
1009,Product_0009,Sports,1806.27
1010,Product_0010,Books,1844.19
1011,Product_0011,Clothing,667.67
1012,Product_0012,Home,342.42
1013,Product_0013,Electronics,427.49
1014,Product_0014,Sports,184.55
1015,Product_0015,Home,244.62
1016,Product_0016,Home,147.25
1017,Product_0017,Home,1979.7
1018,Product_0018,Clothing,152.75
1019,Product_0019,Home,269.42
1020,Product_0020,Sports,1655.37
1021,Product_0021,Clothing,1162.58
1022,Product_0022,Electronics,1549.96
1023,Product_0023,Clothing,1263.67
1024,Product_0024,Electronics,1764.94
1025,Product_0025,Clothing,1278.74
1026,Product_0026,Sports,1046.64
1027,Product_0027,Electronics,1426.94
1028,Product_0028,Sports,897.55
1029,Product_0029,Clothing,695.4
1030,Product_0030,Books,937.97
1031,Product_0031,Sports,343.58
1032,Product_0032,Clothing,1594.16
1033,Product_0033,Home,525.1
1034,Product_0034,Electronics,311.3
1035,Product_0035,Electronics,496.47
1036,Product_0036,Books,1684.93
1037,Product_0037,Books,663.75
1038,Product_0038,Electronics,1373.67
1039,Product_0039,Clothing,1713.54
1040,Product_0040,Electronics,160.1
1041,Product_0041,Clothing,1531.22
1042,Product_0042,Clothing,618.79
1043,Product_0043,Clothing,437.16
1044,Product_0044,Home,1379.36
1045,Product_0045,Electronics,1820.04
1046,Product_0046,Books,593.56
1047,Product_0047,Sports,1139.82
1048,Product_0048,Sports,583.22
1049,Product_0049,Electronics,1110.8
1050,Product_0050,Sports,1245.61
1051,Product_0051,Books,1222.62
1052,Product_0052,Electronics,1248.98
1053,Product_0053,Sports,274.48
1054,Product_0054,Clothing,1388.61
1055,Product_0055,Sports,1351.13
1056,Product_0056,Home,1366.76
1057,Product_0057,Books,152.77
1058,Product_0058,Electronics,896.44
1059,Product_0059,Clothing,821.03
1060,Product_0060,Clothing,177.99
1061,Product_0061,Clothing,448.62
1062,Product_0062,Clothing,884.72
